trigger_source_event,Signal,Max of Physical_Value,Average of Physical_Value,Min of Physical_Value
TRIG_AEB_WARNING_MSG,ABS_ACTIVE_IEB,1,0.065217391,0
TRIG_AEB_WARNING_MSG,ACC_ACTIVE,0,0,0
TRIG_AEB_WARNING_MSG,ACC_ANTIUNDERTAKE_USM_STS,0,0,0
TRIG_AEB_WARNING_MSG,ACC_AVG_SPEED_FOLLOW_USM_STS,0,0,0
TRIG_AEB_WARNING_MSG,ACC_BRAKE_CMD,0,0,0
TRIG_AEB_WARNING_MSG,ACC_COMF_LOWER_BAND,0,0,0
TRIG_AEB_WARNING_MSG,ACC_COMF_UPPER_BAND,0,0,0
TRIG_AEB_WARNING_MSG,ACC_CUSTOMMODE_ACCL_USM_STS,1,0.888888889,0
TRIG_AEB_WARNING_MSG,ACC_CUSTOMMODE_RESP_USM_STS,1,0.888888889,0
TRIG_AEB_WARNING_MSG,ACC_DRIVE_ADV_MODE_FBK,0,0,0
TRIG_AEB_WARNING_MSG,ACC_DRIVE_MODE,0,0,0
TRIG_AEB_WARNING_MSG,ACC_DRIVEMODE_USM_STS,1,0.96,0
TRIG_AEB_WARNING_MSG,ACC_DRV_ADV_MODE_STS,0,0,0
TRIG_AEB_WARNING_MSG,ACC_JERK_LOWER_BAND,-1,-1.655474453,-4.8
TRIG_AEB_WARNING_MSG,ACC_JERK_UPPER_BAND,8,1.442918455,1
TRIG_AEB_WARNING_MSG,ACC_LCF_CNDTN_NOTMET_WRNG_CHIME,0,0,0
TRIG_AEB_WARNING_MSG,ACC_MODE,0,0,0
TRIG_AEB_WARNING_MSG,ACC_OBJ_CLASSIFICATION,0,0,0
TRIG_AEB_WARNING_MSG,ACC_OBJ_DIST,204.6,22.21006006,0
TRIG_AEB_WARNING_MSG,ACC_OBJ_REF_SPD,239.4,11.91174089,-12.6
TRIG_AEB_WARNING_MSG,ACC_READY,1,1,1
TRIG_AEB_WARNING_MSG,ACC_REQUIRED_ACCEL,0,-1.747222222,-4.9
TRIG_AEB_WARNING_MSG,ACC_ROADTYPE_STATE,0,0,0
TRIG_AEB_WARNING_MSG,ACC_SET_DIST_COLOR,0,0,0
TRIG_AEB_WARNING_MSG,ACC_SET_DIST_LEVEL,0,0,0
TRIG_AEB_WARNING_MSG,ACC_SET_DIST_STS,0,0,0
TRIG_AEB_WARNING_MSG,ACC_STOP_REQ,0,0,0
TRIG_AEB_WARNING_MSG,ACC_SYS_FAILURE,0,0,0
TRIG_AEB_WARNING_MSG,ACC_SYS_FAILURE_SOUND,0,0,0
TRIG_AEB_WARNING_MSG,ACC_SYS_INFO,0,0,0
TRIG_AEB_WARNING_MSG,ACC_SYS_STATE,0,0,0
TRIG_AEB_WARNING_MSG,ACC_TELL_TALE_CAR,0,0,0
TRIG_AEB_WARNING_MSG,ACC_TELL_TALE_CAR_COLOR,0,0,0
TRIG_AEB_WARNING_MSG,ACC_TELL_TALE_SPEEDO,0,0,0
TRIG_AEB_WARNING_MSG,ACC_TELL_TALE_SPEEDO_COLOR,0,0,0
TRIG_AEB_WARNING_MSG,ACC_TGT_CATEGORY,0,0,0
TRIG_AEB_WARNING_MSG,ACC_TGT_VALIDITY,0,0,0
TRIG_AEB_WARNING_MSG,ACC_TORQUE,-8000,-8000,-8000
TRIG_AEB_WARNING_MSG,ACC_TORQUE_STS,0,0,0
TRIG_AEB_WARNING_MSG,ACC_VEH_SET_SPD,0,0,0
TRIG_AEB_WARNING_MSG,ACC_VEH_SET_SPD_COLOR,0,0,0
TRIG_AEB_WARNING_MSG,ACC_VEH_SPD_BLINK,0,0,0
TRIG_AEB_WARNING_MSG,ADAS_ANGLECTRL_TQ_WEIGHT_GAIN,0,0,0
TRIG_AEB_WARNING_MSG,ADAS_DES_STRWHL_ANGLE_CMD,27.7,7.530345212,-26.3
TRIG_AEB_WARNING_MSG,ADAS_DRIVER_INPUTTQ_BOOST_ACT,1,0.016216216,0
TRIG_AEB_WARNING_MSG,ADAS_DRIVER_INPUTTQ_BOOST_GAIN,100,1.434408602,0
TRIG_AEB_WARNING_MSG,ADAS_MAX_ANGCTRL_OUTTQ_LIMIT,30,30,30
TRIG_AEB_WARNING_MSG,ADAS_STRWHL_ANGLE_CTRL_STS,1,1,1
TRIG_AEB_WARNING_MSG,AEB_ACTIVE,1,0.075675676,0
TRIG_AEB_WARNING_MSG,AEB_BRAKE_CMD,1,0.087179487,0
TRIG_AEB_WARNING_MSG,AEB_DBS_LEVEL,3,0.373333333,0
TRIG_AEB_WARNING_MSG,AEB_DBS_REQ_ACTIVE,1,0.103448276,0
TRIG_AEB_WARNING_MSG,AEB_DEC_CMD,0,-0.432828283,-9.8
TRIG_AEB_WARNING_MSG,AEB_FAIL_MSG,0,0,0
TRIG_AEB_WARNING_MSG,AEB_FCTA_WARN,3,0.342465753,0
TRIG_AEB_WARNING_MSG,AEB_OBJ_CLASS,5,1.026315789,0
TRIG_AEB_WARNING_MSG,AEB_PLUS_DELTA_LIMIT,0,0,0
TRIG_AEB_WARNING_MSG,AEB_PREFILL_CMD,1,0.094527363,0
TRIG_AEB_WARNING_MSG,AEB_RELATIVE_VELOCITY,7.2,-1.975443511,-23.6
TRIG_AEB_WARNING_MSG,AEB_REQ,1,0.115577889,0
TRIG_AEB_WARNING_MSG,AEB_STATE,2,1.408163265,1
TRIG_AEB_WARNING_MSG,AEB_STOP_REQ,1,0.021505376,0
TRIG_AEB_WARNING_MSG,AEB_STR_VIB_REQ,1,0.115577889,0
TRIG_AEB_WARNING_MSG,AEB_SYMBOL_STATE,0,0,0
TRIG_AEB_WARNING_MSG,AEB_TARGET_REALDST_X_VALUE,200,26.31446689,0.6
TRIG_AEB_WARNING_MSG,AEB_TARGET_REALDST_Y_VALUE,25.5,5.076190476,-4.6
TRIG_AEB_WARNING_MSG,AEB_TIME_TO_COLLISON,5110,2501.853601,10
TRIG_AEB_WARNING_MSG,AEB_USM_STS,2,2,2
TRIG_AEB_WARNING_MSG,AEB_WARN_USM_STS,2,0.9,0
